TITHI,TITHIEND,TITHI2,TITHIEND,NAKSHATRA,NAKSHATRAEND,NAKSHATRA2,NAKSHATRA2END,YOGA,YOGAEND,YOGA2,YOGA2END,KARANA,KARANAEND,KARANA2,KARANA2END,KARANA3,KARANA3END,
Tithi - Navami ,7:56 PM,Tithi - None,None,Nakshatra - Bharani ,6:58 PM,Nakshatra - None,None,Yoga - Shula ,8:47 AM,Yoga - None,None,Karana - Taitila ,7:44 AM,Karana - Garaja ,7:56 PM,Karana - None,None,
Tithi - Dashami ,7:46 PM,Tithi - None,None,Nakshatra - Krittika ,7:31 PM,Nakshatra - None,None,Yoga - Ganda ,7:57 AM,Yoga - None,None,Karana - Vanija ,7:57 AM,Karana - Vishti ,7:46 PM,Karana - None,None,
Tithi - Ekadashi ,6:49 PM,Tithi - None,None,Nakshatra - Rohini ,7:19 PM,Nakshatra - None,None,Yoga - Vriddhi ,6:30 AM,Yoga - Dhruva ,4:26 AM,Karana - Bava upto0,7:23 AM,Karana - Balava ,6:49 PM,Karana - Kaulava upto,6:04 AM,
Tithi - Dwadashi ,5:09 PM,Tithi - None,None,Nakshatra - Mrigashirsha ,6:23 PM,Nakshatra - None,None,Yoga - Vyaghata ,1:48 AM,Yoga - None,None,Karana - Taitila ,5:09 PM,Karana - Garaja ,4:04 AM,Karana - None,None,
Tithi - Trayodashi ,2:49 PM,Tithi - None,None,Nakshatra - Ardra ,4:48 PM,Nakshatra - None,None,Yoga - Harshana ,10:40 PM,Yoga - None,None,Karana - Vanija ,2:49 PM,Karana - Vishti upto,1:27 AM,Karana - None,None,
Tithi - Chaturdashi ,11:57 AM,Tithi - None,None,Nakshatra - Punarvasu ,2:42 PM,Nakshatra - None,None,Yoga - Vajra ,7:07 PM,Yoga - None,None,Karana - Shakuni ,11:57 AM,Karana - Chatushpada ,10:22 PM,Karana - None,None,
Tithi - Amavasya ,8:41 AM,Tithi - Pratipada ,5:11 AM,Nakshatra - Pushya ,12:12 PM,Nakshatra - None,None,Yoga - Siddhi ,3:17 PM,Yoga - None,None,Karana - Nagava ,8:41 AM,Karana - Kinstughna ,6:58 PM,Karana - Bava upto,5:11 AM,
Tithi - Dwitiya ,1:36 AM,Tithi - None,None,Nakshatra - Ashlesha ,9:30 AM,Nakshatra - None,None,Yoga - Vyatipata ,11:18 AM,Yoga - None,None,Karana - Balava ,3:24 PM,Karana - Kaulava ,1:36 AM,Karana - None,None,
Tithi - Tritiya ,10:06 PM,Tithi - None,None,Nakshatra - Magha ,6:45 AM,Nakshatra - Purva Phalguni ,4:06 AM,Yoga - Varigha ,7:16 AM,Yoga - Parigha ,3:21 AM,Karana - Taitila ,11:50 AM,Karana - Garaja ,10:06 PM,Karana - None,None,
Tithi - Chaturthi ,6:49 PM,Tithi - None,None,Nakshatra - Uttara Phalguni ,1:45 AM,Nakshatra - None,None,Yoga - Shiva ,11:39 PM,Yoga - None,None,Karana - Vanija ,8:25 AM,Karana - Vishti ,6:49 PM,Karana - Bava ,5:18 AM,
Tithi - Panchami ,3:55 PM,Tithi - None,None,Nakshatra - Hasta ,11:48 PM,Nakshatra - None,None,Yoga - Siddha ,8:17 PM,Yoga - None,None,Karana - Balava ,3:55 PM,Karana - Kaulava ,2:38 AM,Karana - None,None,
Tithi - Shashthi ,1:30 PM,Tithi - None,None,Nakshatra - Chitra ,10:24 PM,Nakshatra - None,None,Yoga - Sadhya upto0,5:21 PM,Yoga - None,None,Karana - Taitila ,1:30 PM,Karana - Garaja ,12:31 AM,Karana - None,None,
Tithi - Saptami ,11:41 AM,Tithi - None,None,Nakshatra - Swati ,9:36 PM,Nakshatra - None,None,Yoga - Shubha,2:55 PM,Yoga - None,None,Karana - Vanija ,11:41 AM,Karana - Vishti ,11:01 PM,Karana - None,None,
Tithi - Ashtami ,10:30 AM,Tithi - None,None,Nakshatra - Vishakha ,9:28 PM,Nakshatra - None,None,Yoga - Shukla ,1:00 PM,Yoga - None,None,Karana - Bava ,10:30 AM,Karana - Balava ,10:10 PM,Karana - None,None,
Tithi - Navami ,10:00 AM,Tithi - None,None,Nakshatra - Anuradha ,9:59 PM,Nakshatra - None,None,Yoga - Brahma ,11:38 AM,Yoga - None,None,Karana - Kaulava ,10:00 AM,Karana - Taitila ,10:00 PM,Karana - None,None,
Tithi - Dashami ,10:09 AM,Tithi - None,None,Nakshatra - Jyeshtha ,11:07 PM,Nakshatra - None,None,Yoga - Indra ,10:46 AM,Yoga - None,None,Karana - Garaja ,10:09 AM,Karana - Vanija ,10:26 PM,Karana - None,None,
Tithi - Ekadashi ,10:52 AM,Tithi - None,None,Nakshatra - Mula ,12:46 AM,Nakshatra - None,None,Yoga - Vaidhriti ,10:21 AM,Yoga - None,None,Karana - Vishti ,10:52 AM,Karana - Bava ,11:26 PM,Karana - None,None,
Tithi - Dwadashi ,12:07 PM,Tithi - None,None,Nakshatra - Purva Ashadha ,2:52 AM,Nakshatra - None,None,Yoga - Vishkambha ,10:21 AM,Yoga - None,None,Karana - Balava ,12:07 PM,Karana - Kaulava ,12:54 AM,Karana - None,None,
Tithi - Trayodashi ,1:46 PM,Tithi - None,None,Nakshatra - Uttara Ashadha ,5:20 AM,Nakshatra - None,None,Yoga - Priti ,10:40 AM,Yoga - None,None,Karana - Taitila ,1:46 PM,Karana - Garaja ,2:44 AM,Karana - None,None,
Tithi - Chaturdashi ,3:45 PM,Tithi - None,None,Nakshatra - Shravana ,Full Night,Nakshatra - None,None,Yoga - Ayushman ,11:15 AM,Yoga - None,None,Karana - Vanija ,3:45 PM,Karana - Vishti ,4:51 AM,Karana - None,None,
Tithi - Purnima ,5:59 PM,Tithi - None,None,Nakshatra - Shravana ,8:03 AM,Nakshatra - None,None,Yoga - Saubhagya ,12:01 PM,Yoga - None,None,Karana - Bava ,5:59 PM,Karana - Balava ,Full Night,Karana - None,None,
Tithi - Pratipada ,8:22 PM,Tithi - None,None,Nakshatra - Dhanishtha ,10:57 AM,Nakshatra - None,None,Yoga - Shobhana ,12:55 PM,Yoga - None,None,Karana - Balava ,7:10 AM,Karana - Kaulava ,8:22 PM,Karana - None,None,
Tithi - Dwitiya ,10:48 PM,Tithi - None,None,Nakshatra - Shatabhisha ,1:56 PM,Nakshatra - None,None,Yoga - Atiganda ,1:53 PM,Yoga - None,None,Karana - Taitila ,9:35 AM,Karana - Garaja ,10:48 PM,Karana - None,None,
Tithi - Tritiya ,1:13 AM,Tithi - None,None,Nakshatra - Purva Bhadrapada ,4:56 PM,Nakshatra - None,None,Yoga - Sukarman ,2:51 PM,Yoga - None,None,Karana - Vanija ,12:02 PM,Karana - Vishti ,1:13 AM,Karana - None,None,
Tithi - Chaturthi ,3:30 AM,Tithi - None,None,Nakshatra - Uttara Bhadrapada ,7:49 PM,Nakshatra - None,None,Yoga - Dhriti ,3:45 PM,Yoga - None,None,Karana - Bava ,2:23 PM,Karana - Balava ,3:30 AM,Karana - None,None,
Tithi - Panchami ,5:30 AM,Tithi - None,None,Nakshatra - Revati ,10:29 PM,Nakshatra - None,None,Yoga - Shula ,4:29 PM,Yoga - None,None,Karana - Kaulava ,4:33 PM,Karana - Taitila ,5:30 AM,Karana - None,None,
Tithi - Shashthi ,Full Night,Tithi - None,None,Nakshatra - Ashwini ,12:48 AM,Nakshatra - None,None,Yoga - Ganda ,4:58 PM,Yoga - None,None,Karana - Garaja ,6:22 PM,Karana - Vanija uptoF,ull Night,Karana - None,None,
Tithi - Shashthi ,7:06 AM,Tithi - None,None,Nakshatra - Bharani ,2:37 AM,Nakshatra - None,None,Yoga - Vriddhi ,5:05 PM,Yoga - None,None,Karana - Vanija ,7:06 AM,Karana - Vishti ,7:42 PM,Karana - None,None,
Tithi - Saptami ,8:09 AM,Tithi - None,None,Nakshatra - Krittika ,3:48 AM,Nakshatra - None,None,Yoga - Dhruva ,4:43 PM,Yoga - None,None,Karana - Bava ,8:09 AM,Karana - Balava ,8:26 PM,Karana - None,None,
Tithi - Ashtami ,8:32 AM,Tithi - None,None,Nakshatra - Rohini ,4:17 AM,Nakshatra - None,None,Yoga - Vyaghata ,3:49 PM,Yoga - None,None,Karana - Kaulava ,8:32 AM,Karana - Taitila ,8:27 PM,Karana - None,None,
Tithi - Navami ,8:10 AM,Tithi - None,None,Nakshatra - Mrigashirsha ,4:00 AM,Nakshatra - None,None,Yoga - Harshana ,2:19 PM,Yoga - None,None,Karana - Garaja ,8:10 AM,Karana - Vanija ,7:42 PM,Karana - None,None,
Tithi - Dashami ,7:03 AM,Tithi - Ekadashi ,5:10 AM,Nakshatra - Ardra ,2:57 AM,Nakshatra - None,None,Yoga - Vajra ,12:12 PM,Yoga - None,None,Karana - Vishti ,7:03 AM,Karana - Bava ,6:12 PM,Karana - Balava ,5:10 AM,
Tithi - Dwadashi ,2:36 AM,Tithi - None,None,Nakshatra - Punarvasu ,1:14 AM,Nakshatra - None,None,Yoga - Siddhi ,9:28 AM,Yoga - Vyatipata ,6:12 AM,Karana - Kaulava ,3:58 PM,Karana - Taitila ,2:36 AM,Karana - None,None,
Tithi - Trayodashi ,11:28 PM,Tithi - None,None,Nakshatra - Pushya ,10:56 PM,Nakshatra - None,None,Yoga - Varigha ,2:28 AM,Yoga - None,None,Karana - Garaja ,1:06 PM,Karana - Vanija ,11:28 PM,Karana - None,None,
Tithi - Chaturdashi ,7:55 PM,Tithi - None,None,Nakshatra - Ashlesha ,8:12 PM,Nakshatra - None,None,Yoga - Parigha ,10:25 PM,Yoga - None,None,Karana - Vishti ,9:45 AM,Karana - Shakuni ,7:55 PM,Karana - Chatushpada ,6:02 AM,
Tithi - Amavasya ,4:07 PM,Tithi - None,None,Nakshatra - Magha ,5:12 PM,Nakshatra - None,None,Yoga - Shiva ,6:10 PM,Yoga - None,None,Karana - Nagava ,4:07 PM,Karana - Kinstughna ,2:10 AM,Karana - None,None,
Tithi - Pratipada ,12:14 PM,Tithi - None,None,Nakshatra - Purva Phalguni ,2:08 PM,Nakshatra - None,None,Yoga - Siddha ,1:51 PM,Yoga - None,None,Karana - Bava ,12:14 PM,Karana - Balava ,10:19 PM,Karana - None,None,
Tithi - Dwitiya ,8:27 AM,Tithi - Tritiya ,4:57 AM,Nakshatra - Uttara Phalguni ,11:12 AM,Nakshatra - None,None,Yoga - Sadhya ,9:38 AM,Yoga - Shubha ,5:40 AM,Karana - Kaulava ,8:27 AM,Karana - Taitila ,6:39 PM,Karana - Garaja ,4:57 AM,
Tithi - Chaturthi ,1:54 AM,Tithi - None,None,Nakshatra - Hasta ,8:34 AM,Nakshatra - Chitra ,6:25 AM,Yoga - Shukla ,2:05 AM,Yoga - None,None,Karana - Vanija ,3:21 PM,Karana - Vishti ,1:54 AM,Karana - None,None,
Tithi - Panchami ,11:27 PM,Tithi - None,None,Nakshatra - Swati ,4:54 AM,Nakshatra - None,None,Yoga - Brahma ,11:00 PM,Yoga - None,None,Karana - Bava ,12:36 PM,Karana - Balava ,11:27 PM,Karana - None,None,
Tithi - Shashthi ,9:44 PM,Tithi - None,None,Nakshatra - Vishakha ,4:08 AM,Nakshatra - None,None,Yoga - Indra ,8:31 PM,Yoga - None,None,Karana - Kaulava ,10:30 AM,Karana - Taitila ,9:44 PM,Karana - None,None,
Tithi - Saptami ,8:49 PM,Tithi - None,None,Nakshatra - Anuradha ,4:10 AM,Nakshatra - None,None,Yoga - Vaidhriti ,6:40 PM,Yoga - None,None,Karana - Garaja ,9:11 AM,Karana - Vanija ,8:49 PM,Karana - None,None,
Tithi - Ashtami ,8:43 PM,Tithi - None,None,Nakshatra - Jyeshtha ,4:59 AM,Nakshatra - None,None,Yoga - Vishkambha ,5:27 PM,Yoga - None,None,Karana - Vishti ,8:40 AM,Karana - Bava ,8:43 PM,Karana - None,None,
Tithi - Navami ,9:22 PM,Tithi - None,None,Nakshatra - Mula ,Full Night,Nakshatra - None,None,Yoga - Priti ,4:51 PM,Yoga - None,None,Karana - Balava ,8:57 AM,Karana - Kaulava ,9:22 PM,Karana - None,None,
Tithi - Dashami ,10:41 PM,Tithi - None,None,Nakshatra - Mula ,6:30 AM,Nakshatra - None,None,Yoga - Ayushman ,4:47 PM,Yoga - None,None,Karana - Taitila ,9:57 AM,Karana - Garaja ,10:41 PM,Karana - None,None,
Tithi - Ekadashi ,12:31 AM,Tithi - None,None,Nakshatra - Purva Ashadha ,8:37 AM,Nakshatra - None,None,Yoga - Saubhagya ,5:08 PM,Yoga - None,None,Karana - Vanija ,11:33 AM,Karana - Vishti ,12:31 AM,Karana - None,None,
Tithi - Dwadashi ,2:42 AM,Tithi - None,None,Nakshatra - Uttara Ashadha ,11:10 AM,Nakshatra - None,None,Yoga - Shobhana ,5:47 PM,Yoga - None,None,Karana - Bava ,1:35 PM,Karana - Balava ,2:42 AM,Karana - None,None,
Tithi - Trayodashi ,5:06 AM,Tithi - None,None,Nakshatra - Shravana ,2:00 PM,Nakshatra - None,None,Yoga - Atiganda ,6:38 PM,Yoga - None,None,Karana - Kaulava ,3:53 PM,Karana - Taitila ,5:06 AM,Karana - None,None,
Tithi - Chaturdashi ,Full Night,Tithi - None,None,Nakshatra - Dhanishtha ,4:59 PM,Nakshatra - None,None,Yoga - Sukarman ,7:35 PM,Yoga - None,None,Karana - Garaja ,6:21 PM,Karana - Vanija ,Full Night,Karana - None,None,
Tithi - Chaturdashi ,7:35 AM,Tithi - None,None,Nakshatra - Shatabhisha ,7:59 PM,Nakshatra - None,None,Yoga - Dhriti ,8:32 PM,Yoga - None,None,Karana - Vanija ,7:35 AM,Karana - Vishti ,8:49 PM,Karana - None,None,
Tithi - Purnima ,10:02 AM,Tithi - None,None,Nakshatra - Purva Bhadrapada ,10:56 PM,Nakshatra - None,None,Yoga - Shula ,9:27 PM,Yoga - None,None,Karana - Bava ,10:02 AM,Karana - Balava ,11:14 PM,Karana - None,None,
Tithi - Pratipada ,12:24 PM,Tithi - None,None,Nakshatra - Uttara Bhadrapada ,1:45 AM,Nakshatra - None,None,Yoga - Ganda ,10:15 PM,Yoga - None,None,Karana - Kaulava ,12:24 PM,Karana - Taitila ,1:31 AM,Karana - None,None,
Tithi - Dwitiya ,2:35 PM,Tithi - None,None,Nakshatra - Revati ,4:23 AM,Nakshatra - None,None,Yoga - Vriddhi ,10:55 PM,Yoga - None,None,Karana - Garaja ,2:35 PM,Karana - Vanija ,3:36 AM,Karana - None,None,
Tithi - Tritiya ,4:33 PM,Tithi - None,None,Nakshatra - Ashwini ,Full Night,Nakshatra - None,None,Yoga - Dhruva ,11:23 PM,Yoga - None,None,Karana - Vishti ,4:33 PM,Karana - Bava ,5:25 AM,Karana - None,None,
Tithi - Chaturthi ,6:12 PM,Tithi - None,None,Nakshatra - Ashwini ,6:45 AM,Nakshatra - None,None,Yoga - Vyaghata ,11:35 PM,Yoga - None,None,Karana - Balava ,6:12 PM,Karana - Kaulava ,Full Night,Karana - None,None,
Tithi - Panchami ,7:26 PM,Tithi - None,None,Nakshatra - Bharani ,8:46 AM,Nakshatra - None,None,Yoga - Harshana ,11:28 PM,Yoga - None,None,Karana - Kaulava ,6:52 AM,Karana - Taitila ,7:26 PM,Karana - None,None,
Tithi - Shashthi ,8:11 PM,Tithi - None,None,Nakshatra - Krittika ,10:21 AM,Nakshatra - None,None,Yoga - Vajra ,10:58 PM,Yoga - None,None,Karana - Garaja ,7:53 AM,Karana - Vanija ,8:11 PM,Karana - None,None,
Tithi - Saptami ,8:21 PM,Tithi - None,None,Nakshatra - Rohini ,11:23 AM,Nakshatra - None,None,Yoga - Siddhi ,9:58 PM,Yoga - None,None,Karana - Vishti ,8:21 AM,Karana - Bava ,8:21 PM,Karana - None,None,
Tithi - Ashtami ,7:50 PM,Tithi - None,None,Nakshatra - Mrigashirsha ,11:47 AM,Nakshatra - None,None,Yoga - Vyatipata ,8:27 PM,Yoga - None,None,Karana - Balava ,8:11 AM,Karana - Kaulava,7:50 PM,Karana - None,None,
Tithi - Navami ,6:37 PM,Tithi - None,None,Nakshatra - Ardra ,11:30 AM,Nakshatra - None,None,Yoga - Varigha ,6:22 PM,Yoga - None,None,Karana - Taitila ,7:19 AM,Karana - Garaja ,6:37 PM,Karana - Vanija ,5:45 AM,
Tithi - Dashami ,4:42 PM,Tithi - None,None,Nakshatra - Punarvasu ,10:32 AM,Nakshatra - None,None,Yoga - Parigha ,3:44 PM,Yoga - None,None,Karana - Vishti ,4:42 PM,Karana - Bava upto,3:30 AM,Karana - None,None,
Tithi - Ekadashi ,2:09 PM,Tithi - None,None,Nakshatra - Pushya ,8:54 AM,Nakshatra - None,None,Yoga - Shiva ,12:33 PM,Yoga - None,None,Karana - Balava ,2:09 PM,Karana - Kaulava ,12:39 AM,Karana - None,None,
Tithi - Dwadashi ,11:03 AM,Tithi - None,None,Nakshatra - Ashlesha ,6:41 AM,Nakshatra - Magha ,4:02 AM,Yoga - Siddha ,8:55 AM,Yoga - Sadhya ,4:55 AM,Karana - Taitila ,11:03 AM,Karana - Garaja,9:20 PM,Karana - None,None,
Tithi - Trayodashi ,7:32 AM,Tithi - Chaturdashi ,3:46 AM,Nakshatra - Purva Phalguni ,1:05 AM,Nakshatra - None,None,Yoga - Shubha ,12:42 AM,Yoga - None,None,Karana - Vanija ,7:32 AM,Karana - Vishti ,5:40 PM,Karana - Shakuni ,3:46 AM,
Tithi - Amavasya ,11:56 PM,Tithi - None,None,Nakshatra - Uttara Phalguni ,10:03 PM,Nakshatra - None,None,Yoga - Shukla ,8:24 PM,Yoga - None,None,Karana - Chatushpada ,1:51 PM,Karana - Nagava,11:56 PM,Karana - None,None,
Tithi - Pratipada ,8:14 PM,Tithi - None,None,Nakshatra - Hasta ,7:08 PM,Nakshatra - None,None,Yoga - Brahma ,4:10 PM,Yoga - None,None,Karana - Kinstughna ,10:03 AM,Karana - Bava ,8:14 PM,Karana - Balava ,6:28 AM,
Tithi - Dwitiya ,4:49 PM,Tithi - None,None,Nakshatra - Chitra ,4:30 PM,Nakshatra - None,None,Yoga - Indra ,12:10 PM,Yoga - None,None,Karana - Kaulava ,4:49 PM,Karana - Taitila ,3:18 AM,Karana - None,None,
Tithi - Tritiya ,1:55 PM,Tithi - None,None,Nakshatra - Swati ,2:22 PM,Nakshatra - None,None,Yoga - Vaidhriti ,8:33 AM,Yoga - Vishkambha ,5:25 AM,Karana - Garaja ,1:55 PM,Karana - Vanija ,12:42 AM,,,
Tithi - Chaturthi ,11:40 AM,Tithi - None,None,Nakshatra - Vishakha ,12:53 PM,Nakshatra - None,None,Yoga - Priti ,2:55 AM,Yoga - None,None,Karana - Vishti ,11:40 AM,Karana - Bava ,10:49 PM,Karana - None,None,
Tithi - Panchami ,10:12 AM,Tithi - None,None,Nakshatra - Anuradha ,12:11 PM,Nakshatra - None,None,Yoga - Ayushman ,1:04 AM,Yoga - None,None,Karana - Balava ,10:12 AM,Karana - Kaulava ,9:47 PM,Karana - None,None,
Tithi - Shashthi ,9:35 AM,Tithi - None,None,Nakshatra - Jyeshtha ,12:20 PM,Nakshatra - None,None,Yoga - Saubhagya ,11:56 PM,Yoga - None,None,Karana - Taitila ,9:35 AM,Karana - Garaja ,9:37 PM,Karana - None,None,
Tithi - Saptami ,9:51 AM,Tithi - None,None,Nakshatra - Mula ,1:20 PM,Nakshatra - None,None,Yoga - Shobhana ,11:26 PM,Yoga - None,None,Karana - Vanija ,9:51 AM,Karana - Vishti ,10:17 PM,Karana - None,None,
Tithi - Ashtami ,10:54 AM,Tithi - None,None,Nakshatra - Purva Ashadha ,3:05 PM,Nakshatra - None,None,Yoga - Atiganda ,11:29 PM,Yoga - None,None,Karana - Bava ,10:54 AM,Karana - Balava ,11:42 PM,Karana - None,None,
Tithi - Navami ,12:38 PM,Tithi - None,None,Nakshatra - Uttara Ashadha ,5:26 PM,Nakshatra - None,None,Yoga - Sukarman ,12:00 PM,Yoga - None,None,Karana - Kaulava ,12:38 PM,Karana - Taitila ,1:41 AM,Karana - None,None,
Tithi - Dashami ,2:50 PM,Tithi - None,None,Nakshatra - Shravana ,8:13 PM,Nakshatra - None,None,Yoga - Dhriti ,12:47 AM,Yoga - None,None,Karana - Garaja ,2:50 PM,Karana - Vanija,4:03 AM,Karana - None,None,
Tithi - Ekadashi ,5:19 PM,Tithi - None,None,Nakshatra - Dhanishtha ,11:13 PM,Nakshatra - None,None,Yoga - Shula ,1:43 AM,Yoga - None,None,Karana - Vishti ,5:19 PM,Karana - Bava ,Full Night,Karana - None,None,
Tithi - Dwadashi ,7:52 PM,Tithi - None,None,Nakshatra - Shatabhisha ,2:15 AM,Nakshatra - None,None,Yoga - Ganda ,2:40 AM,Yoga - None,None,Karana - Bava ,6:35 AM,Karana -Balava ,7:52 PM,Karana - None,None,
Tithi - Trayodashi ,10:20 PM,Tithi - None,None,Nakshatra - Purva Bhadrapada ,5:10 AM,Nakshatra - None,None,Yoga - Vriddhi ,3:32 AM,Yoga - None,None,Karana - Kaulava ,9:07 AM,Karana - Taitila ,10:20 PM,Karana - None,None,
Tithi - Chaturdashi ,12:36 AM,Tithi - None,None,Nakshatra - Uttara Bhadrapada ,Full Night,Nakshatra - None,None,Yoga - Dhruva ,4:14 AM,Yoga - None,None,Karana - Garaja ,11:30 AM,Karana - Vanija ,12:36 AM,Karana - None,None,
Tithi - Purnima ,2:38 AM,Tithi - None,None,Nakshatra - Uttara Bhadrapada ,7:54 AM,Nakshatra - None,None,Yoga - Vyaghata ,4:44 AM,Yoga - None,None,Karana - Vishti ,1:39 PM,Karana - Bava ,2:38 AM,Karana - None,None,
Tithi - Pratipada ,4:21 AM,Tithi - None,None,Nakshatra - Revati ,10:21 AM,Nakshatra - None,None,Yoga - Harshana ,5:00 AM,Yoga - None,None,Karana - Balava ,3:32 PM,Karana - Kaulava ,4:21 AM,Karana - None,None,
Tithi - Dwitiya ,5:45 AM,Tithi - None,None,Nakshatra - Ashwini ,12:31 PM,Nakshatra - None,None,Yoga - Vajra ,5:02 AM,Yoga - None,None,Karana - Taitila ,5:05 PM,Karana - Garaja,5:45 AM,Karana - None,None,
Tithi - Tritiya ,Full Night,Tithi - None,None,Nakshatra - Bharani ,2:22 PM,Nakshatra - None,None,Yoga - Siddhi ,4:48 AM,Yoga - None,None,Karana - Vanija ,6:19 PM,Karana - Vishti ,Full Night,Karana - None,None,
Tithi - Tritiya ,6:48 AM,Tithi - None,None,Nakshatra - Krittika ,3:53 PM,Nakshatra - None,None,"Yoga - Vyatipata upto0""",4:16 AM,Yoga - None,None,Karana - Vishti ,6:48 AM,Karana - Bava ,7:12 PM,Karana - None,None,
Tithi - Chaturthi ,7:29 AM,Tithi - None,None,Nakshatra - Rohini ,5:00 PM,Nakshatra - None,None,"Yoga - Varigha upto0""",3:24 AM,Yoga - None,None,Karana - Balava ,7:29 AM,Karana - Kaulava ,7:40 PM,Karana - None,None,
Tithi - Panchami ,7:44 AM,Tithi - None,None,Nakshatra - Mrigashirsha ,5:41 PM,Nakshatra - None,None,Yoga - Parigha ,2:11 AM,Yoga - None,None,Karana - Taitila ,7:44 AM,Karana - Garaja ,7:41 PM,Karana - None,None,
Tithi - Shashthi ,7:30 AM,Tithi - None,None,Nakshatra - Ardra ,5:53 PM,Nakshatra - None,None,"Yoga - Shiva """,12:33AM,Yoga - None,None,Karana - Vanija ,7:30 AM,Karana - Vishti ,7:11 PM,Karana - None,None,
Tithi - Saptami ,6:44 AM,Tithi - Ashtami ,5:25 AM,Nakshatra - Punarvasu ,5:33 PM,Nakshatra - None,None,Yoga - Siddha ,10:28 PM,Yoga - None,None,Karana - Bava ,6:44 AM,Karana - Balava ,6:09 PM,Karana - Kaulava ,5:25 AM,
Tithi - Navami ,3:33 AM,Tithi - None,None,Nakshatra - Pushya ,4:40 PM,Nakshatra - None,None,Yoga - Sadhya ,7:57 PM,Yoga - None,None,Karana - Taitila ,4:33 PM,Karana - Garaja ,3:33 AM,Karana - None,None,
Tithi - Dashami ,1:09 AM,Tithi - None,None,Nakshatra - Ashlesha ,3:14 PM,Nakshatra - None,None,Yoga - Shubha ,4:59 PM,Yoga - None,None,Karana - Vanija ,2:25 PM,Karana - Vishti ,1:09 AM,Karana - None,None,
Tithi - Ekadashi ,10:19 PM,Tithi - None,None,Nakshatra - Magha ,1:19 PM,Nakshatra - None,None,Yoga - Shukla ,1:38 PM,Yoga - None,None,Karana - Bava ,11:47 AM,Karana - Balava ,10:19 PM,Karana - None,None,
Tithi - Dwadashi ,7:08 PM,Tithi - None,None,Nakshatra - Purva Phalguni ,11:01 AM,Nakshatra - None,None,Yoga - Brahma ,9:58 AM,Yoga - Indra ,6:05 AM,Karana - Kaulava ,8:45 AM,Karana - Taitila ,7:08 PM,Karana - Garaja ,5:28 AM,
Tithi - Trayodashi ,3:46 PM,Tithi - None,None,Nakshatra - Uttara Phalguni ,8:28 AM,Nakshatra - Hasta ,5:50 AM,Yoga - Vaidhriti ,2:07 AM,Yoga - None,None,Karana - Vanija ,3:46 PM,Karana - Vishti upto,2:04 AM,Karana - None,None,
Tithi - Chaturdashi ,12:23 PM,Tithi - None,None,Nakshatra - Chitra ,3:17 AM,Nakshatra - None,None,Yoga - Vishkambha ,10:12 PM,Yoga - None,None,Karana - Shakuni ,12:23 PM,Karana - Chatushpada ,10:44 PM,Karana - None,None,
Tithi - Amavasya ,9:08 AM,Tithi - Pratipada ,6:13 AM,Nakshatra - Swati ,1:01 AM,Nakshatra - None,None,Yoga - Priti ,6:28 PM,Yoga - None,None,Karana - Nagava,9:08 AM,Karana - Kinstughna ,7:38 PM,Karana - Bava ,6:13 AM,
Tithi - Dwitiya ,3:48 AM,Tithi - None,None,Nakshatra - Vishakha ,11:12 PM,Nakshatra - None,None,Yoga - Ayushman ,3:04 PM,Yoga - None,None,Karana - Balava ,4:56 PM,Karana - Kaulava ,3:48 AM,Karana - None,None,
Tithi - Tritiya ,2:01 AM,Tithi - None,None,Nakshatra - Anuradha ,10:00 PM,Nakshatra - None,None,Yoga - Saubhagya ,12:07 PM,Yoga - None,None,Karana - Taitila ,2:49 PM,Karana - Garaja upto,2:01 AM,Karana - None,None,
Tithi - Chaturthi ,1:01 AM,Tithi - None,None,Nakshatra - Jyeshtha ,9:32 PM,Nakshatra - None,None,Yoga - Shobhana ,9:44 AM,Yoga - None,None,Karana - Vanija ,1:25 PM,Karana - Vishti ,1:01 AM,Karana - None,None,
Tithi - Panchami ,12:51 AM,Tithi - None,None,Nakshatra - Mula ,9:53 PM,Nakshatra - None,None,Yoga - Atiganda ,7:59 AM,Yoga - None,None,Karana - Bava ,12:50 PM,Karana - Balava upto,12:51AM,Karana - None,None,
Tithi - Shashthi ,1:31 AM,Tithi - None,None,Nakshatra - Purva Ashadha ,11:02 PM,Nakshatra - None,None,Yoga - Sukarman ,6:53 AM,Yoga - Dhriti ,6:25 AM,Karana - Kaulava ,1:05 PM,Karana - Taitila ,1:31 AM,Karana - None,None,
Tithi - Saptami ,2:56 AM,Tithi - None,None,Nakshatra - Uttara Ashadha ,12:56 AM,Nakshatra - None,None,Yoga - Shula ,6:31 AM,Yoga - None,None,Karana - Garaja ,2:08 PM,Karana - Vanija ,2:56 AM,Karana - None,None,
Tithi - Ashtami ,4:57 AM,Tithi - None,None,Nakshatra - Shravana ,3:24 AM,Nakshatra - None,None,Yoga - Ganda ,Full Night,Yoga - None,None,Karana - Vishti ,3:53 PM,Karana - Bava ,4:57 AM,Karana - None,None,
Tithi - Navami ,Full Night,Tithi - None,None,Nakshatra - Dhanishtha ,6:16 AM,Nakshatra - None,None,Yoga - Ganda ,7:02 AM,Yoga - None,None,Karana - Balava ,6:07 PM,Karana - Kaulava ,Full Night,Karana - None,None,
